Feature,Binary_Coef,Softmax_Coef
radius_mean,0.3611500684491326,0.1274516595087267
texture_mean,0.48221940329617946,0.18964441138473767
perimeter_mean,0.35315986626691215,0.13073574537556082
area_mean,0.4399502819885038,0.20760731446274847
smoothness_mean,0.3506215582917167,0.21272239043229188
compactness_mean,-0.4395461480874431,-0.3918582619128616
concavity_mean,0.7822983533225193,0.49563892117907954
concave points_mean,0.9528128318119818,0.6147522614155561
symmetry_mean,-0.16399086837706667,-0.14133366404245754
fractal_dimension_mean,-0.08086512047777406,0.052744591217906846
radius_se,1.2333251663808185,0.8265943377495842
texture_se,-0.40761125826206407,-0.32211784554194395
perimeter_se,0.7482947115713598,0.45981706144773965
area_se,0.9090290582882168,0.6153363979883825
smoothness_se,0.24799098171630238,0.1715563180322251
compactness_se,-0.9069248024192615,-0.5698924806219516
concavity_se,-0.09234069448239474,-0.12320507653200777
concave points_se,0.4820890785923528,0.35436484377205496
symmetry_se,-0.3306577340565418,-0.24246544527258593
fractal_dimension_se,-0.5938763200364316,-0.3621067166007673
radius_worst,0.8969678339058803,0.5227465708924499
texture_worst,1.4340931710338392,0.9296093729785566
perimeter_worst,0.7231114802873416,0.394799954639738
area_worst,0.9004766112545065,0.5603446502283743
smoothness_worst,0.42020675465700447,0.15985887561638948
compactness_worst,-0.1734875080449926,-0.16525633356744177
concavity_worst,0.9114058021854968,0.600304032474291
concave points_worst,0.7039988067031879,0.37501132341707055
symmetry_worst,1.0612636621709464,0.6664138293911127
fractal_dimension_worst,0.05486987894732344,0.026287614371878862
